ECG-mV,EMG-mV,foot GSR-mV,hand GSR-mV,HR-bpm,RESP-mV,Stress
0.016,0.03625,8.763999999999998,5.676,88.0,43.47,1.0
-0.098,0.05175,8.769999999999998,5.681,88.0,43.02,1.0
0.273,0.07775,8.777,5.686,88.0,42.56,1.0
-0.094,0.0415,8.787,5.694,88.0,42.57,1.0
0.018,0.03625,8.795999999999998,5.705,88.0,42.64,1.0
0.181,0.05175,8.804,5.72,88.0,42.1,1.0
0.06,0.03625,8.811,5.74,88.0,41.39,1.0
-0.061,0.026,8.820999999999998,5.764,91.0,41.05,1.0
-0.044,0.0465,8.83,5.796,91.0,40.97,1.0
-0.052,0.0415,8.839,5.834,91.0,40.8,1.0
-0.008999999999999998,0.06725,8.851,5.878,91.0,40.35,1.0
-0.051,0.0465,8.865999999999998,5.925,91.0,40.1,1.0
0.285,0.07249999999999998,8.886,5.973,91.0,40.07,1.0
-0.148,0.09325000000000001,8.912,6.028,91.0,40.18,1.0
-0.027,0.06725,8.942999999999998,6.08,91.0,40.43,1.0
0.115,0.06225,8.984,6.131,91.0,40.37,1.0
0.098,0.0465,9.028,6.183,91.0,40.54,1.0
-0.065,0.06225,9.083,6.236,89.0,40.99,1.0
-0.067,0.06725,9.137,6.283,89.0,41.53,1.0
-0.07,0.0415,9.191,6.324,89.0,42.09,1.0
-0.07499999999999998,0.06225,9.248,6.366,89.0,42.56,1.0
-0.037,0.07249999999999998,9.306,6.405,89.0,43.04,1.0
-0.038,0.05175,9.359000000000002,6.443,89.0,43.55,1.0
0.109,0.1035,9.409,6.463,89.0,44.06,1.0
0.027,0.0985,9.456,6.473,89.0,44.5,1.0
0.077,0.0465,9.503,6.487,89.0,44.94,1.0
0.095,0.05175,9.548,6.502,89.0,45.39,1.0
-0.059,0.08275,9.587,6.519,89.0,45.78,1.0
-0.083,0.05175,9.622,6.532,90.0,46.2,1.0
-0.07499999999999998,0.05175,9.679,6.529,90.0,46.73,1.0
-0.047,0.06225,9.682,6.528,90.0,46.75,1.0
-0.07399999999999998,0.057,9.708,6.522,90.0,47.0,1.0
0.2,0.114,9.727,6.51,90.0,47.3,1.0
-0.119,0.08799999999999998,9.746,6.5,90.0,47.56,1.0
-0.045,0.057,9.759,6.489,90.0,47.77,1.0
0.081,0.03625,9.768,6.48,90.0,47.97,1.0
0.064,0.0415,9.773,6.469,90.0,48.15,1.0
-0.072,0.0415,9.775,6.455,95.0,48.31,1.0
-0.058,0.0465,9.775,6.443,95.0,48.41,1.0
-0.061,0.0465,9.772,6.431,95.0,48.31,1.0
-0.028,0.0465,9.768,6.417,95.0,47.98,1.0
-0.059,0.057,9.759,6.402,95.0,47.7,1.0
0.258,0.06225,9.752,6.388,95.0,47.36,1.0
-0.125,0.0985,9.744,6.376,95.0,46.82,1.0
-0.034,0.0415,9.736,6.362,95.0,46.03,1.0
