ECG-mV,EMG-mV,foot GSR-mV,hand GSR-mV,HR-bpm,RESP-mV,Stress
-0.083,0.124,9.051,19.075,90.0,39.98,1.0
-0.079,0.145,9.049,19.088,90.0,40.0,1.0
-0.08599999999999998,0.166,9.046,19.1,90.0,39.97,1.0
-0.045,0.207,9.045000000000002,19.102,90.0,39.87,1.0
-0.109,0.124,9.041,19.102,90.0,39.75,1.0
0.077,0.394,9.039,19.105,90.0,39.73,1.0
0.003,0.228,9.036,19.105,90.0,39.8,1.0
-0.008,0.166,9.035,19.1,90.0,39.85,1.0
0.142,0.186,9.034,19.095,90.0,39.87,1.0
0.207,0.186,9.031,19.09,90.0,39.86,1.0
-0.059,0.228,9.031,19.103,90.0,39.88,1.0
-0.072,0.207,9.031,19.129,90.0,39.9,1.0
-0.07399999999999998,0.186,9.029000000000002,19.141,90.0,39.9,1.0
-0.07399999999999998,0.186,9.026,19.15,90.0,39.81,1.0
-0.045,0.249,9.024,19.154,90.0,39.65,1.0
-0.12,0.124,9.022,19.154,90.0,39.62,1.0
0.201,0.331,9.021,19.154,90.0,39.68,1.0
-0.053,0.166,9.019,19.152,90.0,39.75,1.0
0.057,0.249,9.017,19.152,90.0,39.75,1.0
0.244,0.186,9.015,19.148,90.0,39.74,1.0
0.081,0.228,9.014,19.145,90.0,39.75,1.0
-0.062,0.166,9.012,19.144,88.0,39.77,1.0
-0.053,0.145,9.011,19.144,88.0,39.78,1.0
-0.072,0.186,9.009,19.143,88.0,39.8,1.0
-0.055,0.124,9.009,19.14,88.0,39.68,1.0
-0.058,0.186,9.006999999999998,19.135,88.0,39.55,1.0
-0.124,0.186,9.005,19.134,88.0,39.55,1.0
0.169,0.331,9.003,19.135,88.0,39.71,1.0
-0.007,0.186,9.002,19.137,88.0,39.75,1.0
0.098,0.207,8.999,19.137,88.0,39.74,1.0
0.255,0.207,8.997,19.141,88.0,39.73,1.0
0.021,0.249,8.995,19.147,88.0,39.75,1.0
-0.055,0.186,8.993999999999998,19.143,86.0,39.82,1.0
-0.056,0.124,8.992,19.14,86.0,39.89,1.0
-0.07399999999999998,0.207,8.99,19.135,86.0,40.04,1.0
-0.037,0.207,8.989,19.13,86.0,40.03,1.0
-0.079,0.186,8.989,19.125,86.0,40.02,1.0
0.072,0.269,8.987999999999998,19.12,86.0,39.91,1.0
-0.018,0.249,8.987,19.115,86.0,39.67,1.0
0.025,0.186,8.987,19.106,86.0,39.34,1.0
0.164,0.186,8.984,19.095,86.0,39.05,1.0
0.216,0.145,8.984,19.084,86.0,38.76,1.0
-0.017,0.166,8.981999999999998,19.071,86.0,38.44,1.0
-0.036,0.186,8.981999999999998,19.066,86.0,38.1,1.0
-0.042,0.186,8.981999999999998,19.058,86.0,37.81,1.0
-0.057,0.145,8.979,19.052,86.0,37.5,1.0
-0.017,0.186,8.977999999999998,19.042,86.0,37.08,1.0
-0.07399999999999998,0.186,8.977,19.034,86.0,36.77,1.0
0.175,0.331,8.977,19.026,86.0,36.6,1.0
-0.103,0.228,8.974,19.028,86.0,36.42,1.0
0.046,0.145,8.973,19.03,86.0,36.21,1.0
0.197,0.186,8.971999999999998,19.026,86.0,35.99,1.0
0.197,0.124,8.97,19.022,86.0,35.75,1.0
-0.022,0.186,8.968999999999998,19.018,86.0,35.56,1.0
-0.043,0.166,8.968,19.015,85.0,35.37,1.0
-0.05,0.145,8.967,19.011,85.0,35.25,1.0
-0.049,0.186,8.964,19.004,85.0,35.06,1.0
-0.034,0.145,8.964,18.998,85.0,34.77,1.0
-0.103,0.145,8.961999999999998,18.991,85.0,34.61,1.0
0.136,0.269,8.958,18.981,85.0,34.49,1.0
-0.006,0.186,8.958,18.981,85.0,34.49,1.0
0.097,0.186,8.957,18.975,85.0,34.4,1.0
0.243,0.207,8.955,18.969,85.0,34.3,1.0
0.03,0.207,8.954,18.964,85.0,34.27,1.0
-0.055,0.124,8.952,18.957,88.0,34.3,1.0
-0.055,0.249,8.952,18.951,88.0,34.3,1.0
-0.063,0.186,8.949,18.946,88.0,34.3,1.0
-0.044,0.186,8.949,18.944,88.0,34.2,1.0
-0.124,0.249,8.947,18.939,88.0,34.18,1.0
0.128,0.331,8.947,18.938,88.0,34.31,1.0
-0.049,0.166,8.945,18.94,88.0,34.57,1.0
0.053,0.166,8.944,18.95,88.0,34.82,1.0
0.205,0.228,8.942,18.944,88.0,35.12,1.0
0.013,0.166,8.942,18.939,88.0,35.57,1.0
-0.1,0.186,8.939,18.934,93.0,35.99,1.0
-0.098,0.145,8.939,18.93,93.0,36.38,1.0
-0.07299999999999998,0.186,8.939,18.928,93.0,36.76,1.0
0.095,0.269,8.936999999999998,18.925,93.0,37.02,1.0
0.083,0.352,8.935,18.923,93.0,37.34,1.0
-0.178,0.228,8.934,18.921,93.0,37.72,1.0
-0.03,0.186,8.934,18.916,109.0,38.05,1.0
0.12,0.166,8.936999999999998,18.914,109.0,38.27,1.0
0.117,0.145,8.929999999999998,18.906,109.0,38.54,1.0
-0.092,0.166,8.929999999999998,18.906,109.0,38.54,1.0
-0.097,0.145,8.928,18.905,109.0,38.55,1.0
-0.067,0.207,8.923999999999998,18.903,109.0,38.47,1.0
-0.082,0.228,8.923999999999998,18.903,109.0,38.21,1.0
-0.125,0.145,8.922,18.905,109.0,37.88,1.0
0.121,0.331,8.920999999999998,18.906,109.0,37.65,1.0
-0.029,0.186,8.92,18.914,109.0,37.47,1.0
0.092,0.186,8.917,18.928,109.0,37.3,1.0
0.208,0.186,8.916,18.945,109.0,37.08,1.0
-0.033,0.124,8.915,18.949,109.0,36.87,1.0
-0.078,0.145,8.913,18.954,89.0,36.65,1.0
-0.065,0.145,8.912,18.956,89.0,36.4,1.0
-0.038,0.249,8.910999999999998,18.961,89.0,36.17,1.0
-0.113,0.166,8.91,18.964,89.0,35.83,1.0
0.176,0.373,8.907999999999998,18.965,89.0,35.57,1.0
-0.013,0.228,8.907,18.968,89.0,35.39,1.0
0.064,0.186,8.906,18.968,89.0,35.29,1.0
0.21,0.145,8.906,18.968,89.0,35.17,1.0
0.08599999999999998,0.249,8.904999999999998,18.968,89.0,35.03,1.0
-0.083,0.207,8.904999999999998,18.966,99.0,34.93,1.0
-0.07399999999999998,0.145,8.902,18.968,99.0,34.75,1.0
-0.064,0.124,8.902,18.968,99.0,34.74,1.0
-0.059,0.166,8.902,18.97,99.0,34.57,1.0
-0.139,0.166,8.902,18.962,99.0,34.37,1.0
0.187,0.311,8.902,18.955,99.0,34.27,1.0
-0.044,0.166,8.9,18.945,99.0,34.26,1.0
0.055,0.186,8.9,18.935,99.0,34.25,1.0
0.224,0.104,8.9,18.925,99.0,34.21,1.0
0.005,0.104,8.897999999999998,18.915,99.0,34.19,1.0
-0.085,0.166,8.897,18.906,95.0,34.2,1.0
-0.078,0.207,8.896,18.9,95.0,34.19,1.0
-0.092,0.186,8.894999999999998,18.893,95.0,34.2,1.0
-0.106,0.228,8.894999999999998,18.887,95.0,34.1,1.0
-0.064,0.166,8.891999999999998,18.879,95.0,34.0,1.0
-0.103,0.166,8.891999999999998,18.874,95.0,34.0,1.0
0.046,0.373,8.891999999999998,18.867,95.0,34.07,1.0
-0.008999999999999998,0.249,8.891999999999998,18.862,95.0,34.11,1.0
-0.011,0.145,8.89,18.855,95.0,34.11,1.0
0.129,0.228,8.89,18.849,95.0,34.16,1.0
0.185,0.145,8.887,18.844,95.0,34.23,1.0
-0.066,0.249,8.887,18.844,95.0,34.36,1.0
-0.095,0.145,8.887,18.838,80.0,34.56,1.0
-0.102,0.186,8.886,18.829,80.0,34.82,1.0
-0.122,0.186,8.884999999999998,18.824,80.0,35.07,1.0
-0.141,0.145,8.884999999999998,18.819,80.0,35.28,1.0
-0.148,0.186,8.884999999999998,18.814,80.0,35.67,1.0
-0.149,0.145,8.881999999999998,18.809,80.0,36.06,1.0
-0.122,0.166,8.881999999999998,18.804,80.0,36.5,1.0
-0.121,0.207,8.88,18.796,80.0,36.83,1.0
-0.149,0.207,8.88,18.79,80.0,37.14,1.0
0.061,0.331,8.877,18.785,80.0,37.44,1.0
-0.072,0.166,8.877,18.78,80.0,37.73,1.0
0.046,0.166,8.875999999999998,18.776,80.0,37.96,1.0
0.188,0.186,8.875,18.771,65.0,38.1,1.0
-0.041,0.166,8.875,18.767,65.0,38.21,1.0
-0.111,0.145,8.872,18.764,65.0,38.26,1.0
-0.1,0.145,8.872,18.762,65.0,38.2,1.0
-0.108,0.186,8.87,18.76,65.0,37.98,1.0
-0.126,0.166,8.87,18.759,65.0,37.65,1.0
-0.117,0.186,8.87,18.762,65.0,37.44,1.0
-0.076,0.166,8.868,18.765,65.0,37.25,1.0
-0.132,0.166,8.867,18.758,65.0,37.11,1.0
0.154,0.352,8.867,18.751,65.0,36.93,1.0
-0.081,0.166,8.865,18.741,65.0,36.78,1.0
0.038,0.207,8.865,18.735,65.0,36.61,1.0
0.225,0.207,8.865,18.731,65.0,36.43,1.0
0.065,0.166,8.862,18.729,65.0,36.28,1.0
-0.08899999999999998,0.186,8.862,18.727,75.0,36.11,1.0
-0.08799999999999998,0.166,8.859999999999998,18.725,75.0,35.89,1.0
-0.083,0.145,8.859999999999998,18.721,75.0,35.72,1.0
-0.096,0.186,8.856999999999998,18.725,75.0,35.44,1.0
-0.105,0.186,8.856999999999998,18.724,75.0,35.19,1.0
-0.106,0.145,8.856,18.724,75.0,35.04,1.0
-0.099,0.166,8.856,18.72,75.0,34.95,1.0
-0.05,0.166,8.855,18.713,75.0,34.88,1.0
-0.102,0.186,8.852999999999998,18.708,75.0,34.82,1.0
0.2,0.435,8.852,18.704,75.0,34.83,1.0
-0.079,0.166,8.852,18.703,75.0,34.83,1.0
0.039,0.145,8.849999999999998,18.699,75.0,34.82,1.0
0.227,0.145,8.848,18.688,75.0,34.77,1.0
0.138,0.207,8.846999999999998,18.683,75.0,34.73,1.0
-0.065,0.166,8.846,18.68,65.0,34.72,1.0
-0.068,0.166,8.845,18.675,65.0,34.69,1.0
-0.07,0.207,8.843,18.67,65.0,34.67,1.0
-0.085,0.207,8.842,18.665,65.0,34.56,1.0
-0.096,0.166,8.842,18.66,65.0,34.4,1.0
-0.099,0.145,8.84,18.655,65.0,34.36,1.0
-0.059,0.228,8.84,18.65,65.0,34.44,1.0
-0.08799999999999998,0.186,8.838,18.644,65.0,34.6,1.0
0.068,0.373,8.836999999999998,18.638,65.0,34.68,1.0
-0.001,0.249,8.836,18.633,65.0,34.8,1.0
-0.01,0.186,8.835,18.632,65.0,35.02,1.0
0.134,0.166,8.835,18.633,65.0,35.38,1.0
0.211,0.186,8.832,18.632,65.0,35.77,1.0
-0.064,0.186,8.832,18.633,65.0,36.11,1.0
-0.107,0.228,8.830999999999998,18.633,69.0,36.41,1.0
-0.095,0.186,8.83,18.632,69.0,36.69,1.0
-0.103,0.186,8.829,18.628,69.0,36.94,1.0
-0.115,0.166,8.827999999999998,18.623,69.0,37.15,1.0
-0.099,0.166,8.824999999999998,18.618,69.0,37.46,1.0
-0.057,0.207,8.824,18.613,69.0,37.82,1.0
-0.11,0.228,8.82,18.608,69.0,38.18,1.0
0.163,0.311,8.82,18.608,69.0,38.37,1.0
-0.027,0.104,8.82,18.613,69.0,38.46,1.0
0.101,0.166,8.819,18.621,69.0,38.46,1.0
0.304,0.186,8.817999999999998,18.626,69.0,38.42,1.0
0.122,0.228,8.814999999999998,18.634,69.0,38.34,1.0
-0.015,0.186,8.814,18.645,69.0,38.2,1.0
-0.006,0.228,8.811,18.658,74.0,37.96,1.0
-0.001,0.166,8.81,18.674,74.0,37.77,1.0
-0.014,0.207,8.808,18.692,74.0,37.49,1.0
0.012,0.186,8.806,18.714,74.0,37.24,1.0
0.006,0.228,8.804,18.733,74.0,37.01,1.0
0.0,0.249,8.803,18.763,74.0,36.83,1.0
0.212,0.311,8.8,18.791,74.0,36.67,1.0
0.063,0.186,8.8,18.818,74.0,36.49,1.0
0.186,0.186,8.8,18.846,74.0,36.3,1.0
0.335,0.124,8.798,18.862,74.0,36.08,1.0
0.055,0.207,8.798,18.872,74.0,35.86,1.0
-0.008999999999999998,0.145,8.795,18.876,74.0,35.66,1.0
-0.002,0.145,8.795,18.872,80.0,35.43,1.0
-0.015,0.186,8.795,18.863,80.0,35.21,1.0
-0.032,0.124,8.795,18.855,80.0,34.86,1.0
-0.015,0.166,8.794,18.847,80.0,34.63,1.0
-0.014,0.145,8.793,18.84,80.0,34.51,1.0
-0.045,0.207,8.793,18.824,80.0,34.45,1.0
0.198,0.373,8.791,18.818,80.0,34.4,1.0
0.028,0.166,8.79,18.823,80.0,34.32,1.0
0.139,0.166,8.788,18.826,80.0,34.28,1.0
0.304,0.207,8.785999999999998,18.822,80.0,34.3,1.0
0.038,0.166,8.781,18.817,80.0,34.32,1.0
-0.037,0.186,8.775,18.812,76.0,34.27,1.0
-0.038,0.207,8.766,18.807,76.0,34.22,1.0
-0.052,0.207,8.763,18.797,76.0,34.23,1.0
-0.069,0.186,8.759999999999998,18.786,76.0,34.08,1.0
-0.047,0.145,8.759,18.78,76.0,33.96,1.0
-0.058,0.166,8.747,18.763,76.0,34.11,1.0
-0.07,0.207,8.746,18.762,76.0,34.13,1.0
0.136,0.331,8.743,18.753,76.0,34.25,1.0
-0.017,0.145,8.742,18.743,76.0,34.33,1.0
0.1,0.186,8.739,18.736,76.0,34.48,1.0
0.243,0.186,8.737,18.726,76.0,34.7,1.0
-0.029,0.166,8.729,18.716,76.0,35.01,1.0
-0.104,0.166,8.724,18.705,78.0,35.34,1.0
-0.105,0.104,8.718999999999998,18.693,78.0,35.64,1.0
-0.118,0.29,8.718,18.679,78.0,35.93,1.0
-0.095,0.186,8.715999999999998,18.669,78.0,36.09,1.0
-0.14,0.228,8.714,18.658,78.0,36.35,1.0
-0.012,0.249,8.713,18.649,78.0,36.66,1.0
-0.066,0.249,8.711,18.639,78.0,37.01,1.0
-0.049,0.166,8.708,18.63,78.0,37.25,1.0
0.105,0.186,8.707,18.628,78.0,37.46,1.0
0.188,0.207,8.705999999999998,18.621,78.0,37.64,1.0
-0.08,0.186,8.704,18.62,78.0,37.82,1.0
-0.111,0.145,8.701,18.614,85.0,37.93,1.0
-0.1,0.166,8.698,18.608,85.0,37.89,1.0
-0.107,0.166,8.695999999999998,18.606,85.0,37.68,1.0
-0.068,0.186,8.692999999999998,18.601,85.0,37.34,1.0
-0.125,0.228,8.691,18.593,85.0,37.09,1.0
0.172,0.29,8.689,18.584,85.0,36.87,1.0
-0.128,0.228,8.688,18.574,85.0,36.66,1.0
-0.005,0.249,8.686,18.566,85.0,36.42,1.0
0.165,0.352,8.683,18.565,85.0,36.18,1.0
0.16,0.249,8.683,18.565,85.0,35.94,1.0
-0.08599999999999998,0.87,8.683,18.563,85.0,35.7,1.0
-0.08899999999999998,0.684,8.683,18.561,85.0,35.47,1.0
-0.08799999999999998,0.311,8.681,18.561,85.0,35.47,1.0
-0.099,0.269,8.679,18.56,85.0,35.5,1.0
-0.055,0.29,8.678,18.557,85.0,35.26,1.0
-0.113,0.559,8.678,18.56,85.0,35.05,1.0
0.16,0.663,8.676999999999998,18.553,85.0,34.91,1.0
-0.096,0.891,8.676,18.551,85.0,34.81,1.0
0.001,0.477,8.673999999999998,18.542,85.0,34.68,1.0
0.171,0.767,8.673,18.532,85.0,34.56,1.0
0.183,0.29,8.673,18.524,85.0,34.44,1.0
-0.069,0.9940000000000001,8.673,18.516,84.0,34.35,1.0
-0.078,0.414,8.673,18.514,84.0,34.25,1.0
-0.078,0.8289999999999998,8.673,18.511,84.0,34.2,1.0
-0.096,0.8289999999999998,8.673,18.51,84.0,34.11,1.0
-0.081,0.352,8.673,18.509,84.0,33.95,1.0
-0.078,0.663,8.673,18.508,84.0,33.93,1.0
-0.129,0.311,8.673999999999998,18.508,84.0,33.96,1.0
0.137,0.7249999999999999,8.673,18.506,84.0,33.99,1.0
-0.038,0.435,8.676,18.503,84.0,33.96,1.0
0.07,0.559,8.676,18.501,84.0,33.93,1.0
0.23,0.7249999999999999,8.676,18.499,84.0,33.99,1.0
-0.023,0.435,8.676,18.499,84.0,34.08,1.0
-0.108,0.7249999999999999,8.676,18.499,81.0,34.22,1.0
-0.109,0.352,8.673,18.494,81.0,34.43,1.0
-0.127,0.767,8.673,18.489,81.0,34.67,1.0
-0.146,0.518,8.672,18.482,81.0,34.78,1.0
-0.104,0.207,8.670999999999998,18.475,81.0,35.01,1.0
-0.17,0.331,8.670999999999998,18.469,81.0,35.35,1.0
0.109,0.456,8.670999999999998,18.464,81.0,35.78,1.0
-0.189,0.767,8.668,18.459,81.0,36.17,1.0
-0.043,0.352,8.668,18.453,81.0,36.48,1.0
0.137,0.559,8.668,18.449,80.0,36.75,1.0
0.072,0.228,8.668,18.444,80.0,37.0,1.0
-0.139,0.87,8.667,18.441,80.0,37.26,1.0
-0.14,0.311,8.666,18.437,80.0,37.55,1.0
-0.133,0.932,8.666,18.434,80.0,37.82,1.0
-0.12,0.622,8.666,18.431,80.0,37.9,1.0
-0.118,0.684,8.666,18.429,80.0,37.89,1.0
-0.166,0.684,8.666,18.426,80.0,37.78,1.0
0.112,0.435,8.666,18.424,80.0,37.63,1.0
-0.061,0.704,8.666,18.421,80.0,37.46,1.0
0.057,0.373,8.663,18.413,80.0,37.23,1.0
0.223,0.642,8.662,18.405,80.0,37.03,1.0
-0.029,0.932,8.660999999999998,18.395,80.0,36.83,1.0
-0.109,0.414,8.660999999999998,18.382,88.0,36.63,1.0
-0.097,0.787,8.660999999999998,18.37,88.0,36.4,1.0
-0.106,0.787,8.660999999999998,18.366,88.0,36.2,1.0
-0.121,0.352,8.660999999999998,18.366,88.0,35.87,1.0
-0.094,0.8489999999999999,8.660999999999998,18.362,88.0,35.63,1.0
-0.094,0.8489999999999999,8.660999999999998,18.359,88.0,35.46,1.0
-0.122,0.601,8.660999999999998,18.355,88.0,35.33,1.0
0.126,0.974,8.659,18.352,88.0,35.18,1.0
-0.033,0.746,8.657999999999998,18.365,88.0,35.02,1.0
0.08,0.435,8.657999999999998,18.368,88.0,34.91,1.0
0.243,0.746,8.657999999999998,18.368,88.0,34.8,1.0
-0.008,0.7249999999999999,8.657999999999998,18.366,88.0,34.72,1.0
-0.082,0.518,8.656,18.362,77.0,34.63,1.0
-0.07399999999999998,0.787,8.656,18.357,77.0,34.52,1.0
-0.082,0.477,8.656,18.352,77.0,34.41,1.0
-0.098,0.767,8.656,18.349,77.0,34.2,1.0
-0.081,0.932,8.654,18.345,77.0,34.06,1.0
-0.063,0.331,8.654,18.341,77.0,33.97,1.0
-0.123,0.8489999999999999,8.651,18.337,77.0,33.93,1.0
0.152,0.767,8.651,18.341,77.0,33.93,1.0
-0.024,0.601,8.649,18.337,77.0,33.86,1.0
0.082,0.642,8.649,18.336,77.0,33.82,1.0
0.261,0.373,8.647,18.337,77.0,33.78,1.0
0.041,0.663,8.646,18.339,77.0,33.79,1.0
-0.067,0.394,8.646,18.339,76.0,33.78,1.0
-0.057,0.767,8.644,18.336,76.0,33.77,1.0
-0.065,0.435,8.641999999999998,18.331,76.0,33.82,1.0
-0.081,0.249,8.641,18.323,76.0,33.75,1.0
-0.078,0.7249999999999999,8.641,18.316,76.0,33.75,1.0
-0.039,0.331,8.641,18.303,76.0,33.88,1.0
-0.102,0.8489999999999999,8.638999999999998,18.293,76.0,34.15,1.0
0.179,0.539,8.638999999999998,18.283,76.0,34.44,1.0
-0.081,0.373,8.638999999999998,18.28,76.0,34.71,1.0
0.035,0.539,8.636,18.275,76.0,35.02,1.0
0.217,0.539,8.636,18.273,76.0,35.31,1.0
0.125,0.352,8.634999999999998,18.273,76.0,35.61,1.0
-0.07399999999999998,0.808,8.634,18.272,75.0,35.92,1.0
-0.079,0.435,8.634,18.268,75.0,36.19,1.0
-0.082,0.87,8.634,18.279,75.0,36.43,1.0
-0.096,0.414,8.631999999999998,18.284,75.0,36.56,1.0
-0.068,0.891,8.631,18.29,75.0,36.67,1.0
-0.091,0.373,8.628999999999998,18.294,75.0,36.88,1.0
-0.05,0.7249999999999999,8.628999999999998,18.296,75.0,37.09,1.0
0.069,0.787,8.627,18.296,75.0,37.23,1.0
-0.007,0.435,8.625999999999998,18.302,75.0,37.22,1.0
0.126,0.787,8.625,18.311,75.0,37.1,1.0
0.245,0.539,8.624,18.314,75.0,36.92,1.0
-0.022,0.601,8.624,18.311,75.0,36.75,1.0
-0.071,0.746,8.624,18.311,80.0,36.6,1.0
-0.063,0.622,8.624,18.312,80.0,36.42,1.0
-0.07399999999999998,0.684,8.624,18.309,80.0,36.19,1.0
-0.081,0.622,8.621,18.306,80.0,35.87,1.0
-0.036,0.746,8.621,18.304,80.0,35.64,1.0
-0.096,0.373,8.621,18.3,80.0,35.45,1.0
0.198,0.684,8.618999999999998,18.296,80.0,35.3,1.0
-0.079,0.539,8.618999999999998,18.292,80.0,35.16,1.0
0.043,0.7249999999999999,8.618999999999998,18.29,80.0,35.02,1.0
0.228,0.58,8.618999999999998,18.286,80.0,34.9,1.0
0.151,0.518,8.615999999999998,18.28,80.0,34.83,1.0
-0.057,0.8289999999999998,8.615999999999998,18.276,80.0,34.75,1.0
-0.054,0.808,8.614,18.277,80.0,34.63,1.0
-0.058,0.373,8.614,18.282,80.0,34.51,1.0
-0.07399999999999998,0.8289999999999998,8.614,18.286,80.0,34.33,1.0
-0.049,0.352,8.611,18.282,80.0,34.12,1.0
-0.067,0.891,8.609,18.28,80.0,34.02,1.0
-0.065,0.373,8.606,18.275,80.0,33.98,1.0
0.126,0.663,8.602,18.272,80.0,33.97,1.0
0.098,0.269,8.599999999999998,18.272,80.0,33.94,1.0
0.165,0.269,8.599,18.276,80.0,33.95,1.0
0.26,0.207,8.596999999999998,18.288,80.0,33.91,1.0
-0.003,0.414,8.599,18.301,80.0,33.84,1.0
-0.067,0.166,8.596,18.307,80.0,33.84,1.0
-0.062,0.186,8.590999999999998,18.326,80.0,33.81,1.0
-0.079,0.311,8.590999999999998,18.326,80.0,33.8,1.0
-0.071,0.186,8.585,18.327,80.0,33.62,1.0
-0.071,0.249,8.583999999999998,18.322,80.0,33.57,1.0
-0.131,0.186,8.582,18.325,80.0,33.65,1.0
0.124,0.311,8.579,18.34,80.0,33.94,1.0
-0.049,0.145,8.572,18.35,80.0,34.28,1.0
0.059,0.166,8.567999999999998,18.352,80.0,34.71,1.0
0.224,0.186,8.564999999999998,18.352,80.0,35.12,1.0
-0.022,0.186,8.564999999999998,18.351,80.0,35.45,1.0
-0.116,0.145,8.573,18.352,83.0,35.72,1.0
-0.11,0.207,8.579,18.352,83.0,36.08,1.0
-0.103,0.166,8.577,18.34,83.0,36.42,1.0
-0.096,0.145,8.572,18.33,83.0,36.61,1.0
-0.159,0.186,8.567999999999998,18.311,83.0,36.82,1.0
0.07299999999999998,0.29,8.561,18.288,83.0,37.11,1.0
-0.07,0.124,8.551,18.288,83.0,37.43,1.0
0.057,0.124,8.545,18.296,83.0,37.6,1.0
0.245,0.124,8.542,18.297,83.0,37.65,1.0
0.023,0.104,8.54,18.295,83.0,37.65,1.0
-0.085,0.145,8.538999999999998,18.29,91.0,37.56,1.0
-0.07399999999999998,0.145,8.537,18.286,91.0,37.33,1.0
-0.079,0.145,8.535,18.282,91.0,37.11,1.0
-0.037,0.166,8.534,18.278,91.0,36.8,1.0
-0.103,0.124,8.534,18.273,91.0,36.55,1.0
0.205,0.331,8.532,18.265,91.0,36.35,1.0
-0.108,0.207,8.529999999999998,18.26,91.0,36.18,1.0
0.029,0.145,8.529,18.257,91.0,35.99,1.0
0.209,0.124,8.529,18.253,91.0,35.74,1.0
0.171,0.166,8.527,18.25,91.0,35.42,1.0
-0.049,0.124,8.524,18.243,91.0,35.14,1.0
-0.052,0.186,8.519999999999998,18.239,89.0,34.96,1.0
-0.059,0.145,8.515,18.237,89.0,34.85,1.0
-0.034,0.145,8.513,18.237,89.0,34.67,1.0
-0.069,0.145,8.512,18.234,89.0,34.39,1.0
-0.045,0.207,8.509999999999998,18.234,89.0,34.26,1.0
0.141,0.394,8.509999999999998,18.234,89.0,34.23,1.0
0.002,0.124,8.513999999999998,18.237,89.0,34.24,1.0
0.129,0.166,8.513,18.24,89.0,34.18,1.0
0.253,0.104,8.508,18.245,89.0,34.14,1.0
-0.015,0.186,8.505,18.253,89.0,34.14,1.0
-0.064,0.124,8.5,18.261,89.0,34.14,1.0
